 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(ACOX-1)																							 ascr#26	 C21H40O6	388.54	 1355681-67-2	" 14R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-pentadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#27	 C22H40O6	400.55	 1355681-69-4	" 15R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-hexadecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#28	 C22H42O6	402.57	 1355681-71-8	" 15R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-hexadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#29	 C23H42O6	414.58	 1355681-73-0	" 16R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-heptadecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#30	 C23H44O6	416.59	 1355681-75-2	" 16R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-heptadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#31	 C24H44O6	428.6	 1355681-77-4	" 17R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-octadecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#32	 C24H46O6	430.62	 1355681-79-6	" 17R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-octadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#33	 C25H46O6	442.63	 1355681-81-0	" 18R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-nonadecenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#34	 C25H48O6	444.64	 1355681-83-2	" 18R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#35	 C26H48O6	456.66	 1355681-85-4	" 19R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-icosenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#36	 C26H50O6	458.67	 1355681-87-6	" 19R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-icosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#37	 C27H50O6	470.68	 1355681-89-8	" 20R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-2E-henicosenoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ascr#38	 C27H52O6	472.7	 1355681-91-2	" 20R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-henicosenoic acid"	 <i>C. elegans</i>	 none
